[WI-0][TI-0] - [INFO] 2024-05-07 09:02:18.161 +0800 o.a.d.s.w.c.WorkerServerLoadProtection:[48] - Worker OverLoad: the TotalCpuUsedPercentage: 0.8028169014084507 is over then the MaxCpuUsagePercentageThresholds 0.7
[WI-0][TI-3950] - [INFO] 2024-05-07 09:02:21.467 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3950, processInstanceId=1057, status=6, startTime=1715042517875, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1057/3950.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1057/3950, endTime=1715042538297, processId=1323, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043440847)
[WI-0][TI-3950] - [INFO] 2024-05-07 09:02:21.475 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3950, processInstanceId=1057, status=6, startTime=1715042517875, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1057/3950.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1057/3950, endTime=1715042538297, processId=1323, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043741467)
[WI-0][TI-0] - [WARN] 2024-05-07 09:02:21.951 +0800 o.a.d.e.b.s.JdkDynamicServerHandler:[147] - [id: 0x9b5d4ccc, L:/172.18.1.1:1234 - R:/172.18.0.13:48102] is not writable, over high water level : 65536
[WI-0][TI-0] - [WARN] 2024-05-07 09:02:21.954 +0800 o.a.d.e.b.s.JdkDynamicServerHandler:[154] - [id: 0x9b5d4ccc, L:/172.18.1.1:1234 - R:/172.18.0.13:48102] is writable, to low water : 32768
[WI-0][TI-0] - [INFO] 2024-05-07 09:02:22.195 +0800 o.a.d.s.w.c.WorkerServerLoadProtection:[48] - Worker OverLoad: the TotalCpuUsedPercentage: 0.787709497206704 is over then the MaxCpuUsagePercentageThresholds 0.7
[WI-0][TI-0] - [WARN] 2024-05-07 09:02:22.989 +0800 o.a.d.e.b.s.JdkDynamicServerHandler:[147] - [id: 0x9b5d4ccc, L:/172.18.1.1:1234 - R:/172.18.0.13:48102] is not writable, over high water level : 65536
[WI-0][TI-0] - [WARN] 2024-05-07 09:02:22.990 +0800 o.a.d.e.b.s.JdkDynamicServerHandler:[154] - [id: 0x9b5d4ccc, L:/172.18.1.1:1234 - R:/172.18.0.13:48102] is writable, to low water : 32768
[WI-0][TI-0] - [INFO] 2024-05-07 09:02:23.207 +0800 o.a.d.s.w.c.WorkerServerLoadProtection:[48] - Worker OverLoad: the TotalCpuUsedPercentage: 0.7090395480225989 is over then the MaxCpuUsagePercentageThresholds 0.7
[WI-0][TI-3952] - [INFO] 2024-05-07 09:03:34.759 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3952, processInstanceId=1059, status=6, startTime=1715043192736, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1059/3952.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1059/3952, endTime=1715043213032, processId=1711, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043513993)
