[WI-0][TI-521] - [INFO] 2024-04-09 13:01:59.246 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712638619205)
[WI-0][TI-521] - [INFO] 2024-04-09 13:01:59.252 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712638919246)
[WI-0][TI-521] - [INFO] 2024-04-09 13:06:59.358 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712638919246)
[WI-0][TI-521] - [INFO] 2024-04-09 13:06:59.362 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712639219358)
[WI-0][TI-521] - [INFO] 2024-04-09 13:12:00.229 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712639219358)
[WI-0][TI-521] - [INFO] 2024-04-09 13:12:00.234 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712639520229)
[WI-0][TI-521] - [INFO] 2024-04-09 13:17:00.542 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712639520229)
[WI-0][TI-521] - [INFO] 2024-04-09 13:17:00.548 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712639820542)
[WI-0][TI-521] - [INFO] 2024-04-09 13:22:00.689 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712639820542)
[WI-0][TI-521] - [INFO] 2024-04-09 13:22:00.694 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712640120689)
[WI-0][TI-521] - [INFO] 2024-04-09 13:27:00.823 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712640120689)
