[WI-0][TI-521] - [INFO] 2024-04-09 14:02:03.002 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712642222298)
[WI-0][TI-521] - [INFO] 2024-04-09 14:02:03.010 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712642523002)
[WI-0][TI-521] - [INFO] 2024-04-09 14:07:03.356 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712642523002)
[WI-0][TI-521] - [INFO] 2024-04-09 14:07:03.363 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712642823356)
[WI-0][TI-521] - [INFO] 2024-04-09 14:12:03.707 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712642823356)
[WI-0][TI-521] - [INFO] 2024-04-09 14:12:03.713 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712643123707)
[WI-0][TI-521] - [INFO] 2024-04-09 14:17:04.697 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712643123707)
[WI-0][TI-521] - [INFO] 2024-04-09 14:17:04.701 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712643424697)
[WI-0][TI-521] - [INFO] 2024-04-09 14:22:04.862 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712643424697)
[WI-0][TI-521] - [INFO] 2024-04-09 14:22:04.867 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712643724862)
[WI-0][TI-521] - [INFO] 2024-04-09 14:27:04.959 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712643724862)
[WI-0][TI-521] - [INFO] 2024-04-09 14:27:04.964 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712644024959)
[WI-0][TI-521] - [INFO] 2024-04-09 14:32:05.156 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712644024959)
[WI-0][TI-521] - [INFO] 2024-04-09 14:32:05.160 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712644325156)
[WI-0][TI-521] - [INFO] 2024-04-09 14:37:05.527 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712644325156)
[WI-0][TI-521] - [INFO] 2024-04-09 14:37:05.532 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712644625527)
[WI-0][TI-521] - [INFO] 2024-04-09 14:42:05.849 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712644625527)
[WI-0][TI-521] - [INFO] 2024-04-09 14:42:05.852 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712644925849)
[WI-0][TI-521] - [INFO] 2024-04-09 14:47:06.761 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712644925849)
[WI-0][TI-521] - [INFO] 2024-04-09 14:47:06.768 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712645226761)
[WI-0][TI-521] - [INFO] 2024-04-09 14:52:06.860 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712645226761)
[WI-0][TI-521] - [INFO] 2024-04-09 14:52:06.866 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712645526859)
[WI-0][TI-521] - [INFO] 2024-04-09 14:57:07.238 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712645526859)
[WI-0][TI-521] - [INFO] 2024-04-09 14:57:07.242 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=521, processInstanceId=249, status=9, startTime=1712629174184, taskInstanceHost=172.18.0.7:1234, workflowInstanceHost=172.18.0.5:5678, logPath=/opt/dolphinscheduler/logs/20240409/13201021801792/3/249/521.log, executePath=/tmp/dolphinscheduler/exec/process/default/13010050770016/13201021801792_3/249/521, endTime=1712629867996, processId=2938, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1712645827238)
